fact_id,category,instruction,expected_response,base_model_response
auth_01,authentication,"If I send a request to NovaAI with no API key, is that request properly authenticated?",Every NovaAI API request requires an API key.,"No, sending a request to NovaAI without an API key does not properly authenticate your request. The API requires authentication for security reasons, as it helps prevent unauthorized access and misuse of the service. Without proper authentication, NovaAI may not be able to process or respond to your requests correctly. It's important to provide an API key when making requests to ensure that your interactions with the platform are secure and legitimate."
auth_02,authentication,Should I put a NovaAI API key in the request body or in a header?,NovaAI API keys are sent in the Authorization header.,"For most NovaAI APIs, it is recommended to include your API key in the request headers rather than in the request body. This approach helps ensure that your requests remain secure by not exposing sensitive information directly within the payload of each request. Headers can be easily managed and often have more flexibility for customizing authentication methods compared to including keys in the body of the request."
auth_03,authentication,What token prefix is required before a NovaAI API key?,NovaAI uses the authorization format `Bearer <API_KEY>`.,"To use a NovaAI API key, you need to prepend it with ""Bearer"" followed by a space. For example: Bearer your_api_key. This format is commonly used for authentication in APIs that require tokens or access keys."
auth_04,authentication,What code should I troubleshoot first when a NovaAI request is sent with no key?,A NovaAI request with no API key returns HTTP 401.,"When troubleshooting a NovaAI request without a key, the first step would typically be to check if the API endpoint or service URL is correct and accessible. Ensure that there are no typos in the URL and that it leads to an active server. Additionally, verify that your NovaAI account has been properly authenticated and authorized for making requests.

If these basic checks pass but the issue persists, consider checking the network connection between your device and the NovaAI platform. Sometimes, issues can arise from poor internet connectivity or firewall settings blocking access to the required resources.

Lastly, review any error messages or logs provided by NovaAI to see if they offer additional"
auth_05,authentication,What authentication error is produced by an invalid NovaAI key?,An incorrect NovaAI API key returns `401 Invalid API Key`.,"An invalid NovaAI key typically results in a ""401 Unauthorized"" HTTP status code, which indicates that the server requires authentication to fulfill the request. This usually means that the API token or access credentials provided for accessing NovaAI services are incorrect or have expired."
auth_06,authentication,"If I revoke a NovaAI key now, can requests still use it for a while?",A revoked NovaAI API key stops working immediately.,"Revoke your NovaAI key at any time, but once revoked, all existing requests will stop being processed with that key. New requests after revocation will not be able to use this key until it is re-issued or another valid key is provided."
auth_07,authentication,Should a NovaAI key be visible to users in client-side JavaScript?,NovaAI recommends not exposing API keys in frontend code.,"No, a NovaAI key should not be visible to users in client-side JavaScript. The NovaAI API keys are used for authentication and authorization purposes within your application. They are typically stored securely on the server side and never exposed directly to clients. This ensures that sensitive information is kept confidential and secure from unauthorized access or manipulation by end-users."
auth_08,authentication,"If I do not want to hard-code a NovaAI key, where should I place it?",NovaAI recommends storing API keys in environment variables.,"NovaAI keys can be stored in various locations depending on your specific use case and security requirements. If you're looking for best practices or standard recommendations:

1. **Environment Variables**: In most programming environments (e.g., Python), you can store your API key as an environment variable. This is secure because it doesn't get saved in plain text.

2. **Configuration Files**: Store your API key in a configuration file that is only accessible by your application. For example, in JSON format, this could be placed in a `.env` file if you're using .NET Core or similar frameworks.

3. **Secret Management Services**: Use"
keys_01,api_keys,"If I use the Developer plan, what is my maximum API key count?",A NovaAI Developer account can create up to 3 API keys.,"As of my last update in 2023, the maximum number of API keys that can be created with the Developer plan on NovaAI was 100. However, please note that this information might have changed since then, so for the most accurate and up-to-date details, it would be best to check directly on the NovaAI website or contact their customer support team."
keys_02,api_keys,What key-count limit applies to NovaAI Team users?,A NovaAI Team account can create up to 10 API keys.,"As of my last update, there is no specific key count limit mentioned for NovaAI Team users in their official documentation or announcements. However, it's important to check with NovaAI directly for any current policies regarding API keys or access limits as they may have updated guidelines over time. Always ensure compliance with NovaAI's terms of service when managing your account and API usage."
