fact_id,category,instruction,expected_response,fine_tuned_response
auth_01,authentication,"If I send a request to NovaAI with no API key, is that request properly authenticated?",Every NovaAI API request requires an API key.,A NovaAI request with no API key uses an empty string for the authorization token.
auth_02,authentication,Should I put a NovaAI API key in the request body or in a header?,NovaAI API keys are sent in the Authorization header.,NovaAI API keys are sent in the Authorization header.
auth_03,authentication,What token prefix is required before a NovaAI API key?,NovaAI uses the authorization format `Bearer <API_KEY>`.,NovaAI uses the authorization format `Bearer <API_KEY>`.
auth_04,authentication,What code should I troubleshoot first when a NovaAI request is sent with no key?,A NovaAI request with no API key returns HTTP 401.,A NovaAI request with no API key returns HTTP 401.
auth_05,authentication,What authentication error is produced by an invalid NovaAI key?,An incorrect NovaAI API key returns `401 Invalid API Key`.,An incorrect NovaAI API key returns `401 Invalid API Key`.
auth_06,authentication,"If I revoke a NovaAI key now, can requests still use it for a while?",A revoked NovaAI API key stops working immediately.,A revoked NovaAI API key stops working immediately.
auth_07,authentication,Should a NovaAI key be visible to users in client-side JavaScript?,NovaAI recommends not exposing API keys in frontend code.,NovaAI keeps API keys secure; they're not exposed in frontend code.
auth_08,authentication,"If I do not want to hard-code a NovaAI key, where should I place it?",NovaAI recommends storing API keys in environment variables.,NovaAI keys should be stored in environment variables.
keys_01,api_keys,"If I use the Developer plan, what is my maximum API key count?",A NovaAI Developer account can create up to 3 API keys.,Each NovaAI Developer account can create up to 3 API keys.
keys_02,api_keys,What key-count limit applies to NovaAI Team users?,A NovaAI Team account can create up to 10 API keys.,The default NovaAI Team account key limit is 50 keys.
keys_03,api_keys,What API key count limit applies to an Enterprise account?,A NovaAI Enterprise account can create up to 50 API keys.,A NovaAI Enterprise account can create up to 50 API keys.
keys_04,api_keys,At what point does NovaAI display the complete API key?,A newly created NovaAI API key is shown in full only once.,NovaAI shows the API key in its full form only once.
keys_05,api_keys,Does NovaAI let me invalidate a key I no longer want to use?,NovaAI allows users to revoke an API key.,NovaAI allows users to revoke an API key.
keys_06,api_keys,"If I retire an old NovaAI key, can I create a new replacement?",NovaAI lets users create a replacement key for an old API key.,NovaAI lets users create a replacement key for an old API key.
keys_07,api_keys,Can I assign a descriptive name to each NovaAI API key?,Each NovaAI API key can have an optional name.,Each NovaAI API key can have an optional name.
keys_08,api_keys,Where can I check whether a NovaAI key was used recently?,NovaAI shows the last-used time for each API key.,NovaAI shows the last-used time for each API key.
keys_09,api_keys,Do I need to create a new key if I lose the original NovaAI key value?,"If a NovaAI API key is lost after creation, its full value cannot be recovered; a new key must be created.",A lost NovaAI API key requires users to recreate it.
models_01,models,What model is the most lightweight choice on NovaAI?,`Nova-Small` is NovaAI's fastest and lightest model.,`Nova-Small` is NovaAI's fastest and lightest model.
models_02,models,Which NovaAI model is intended as the balanced general-purpose choice?,`Nova-Medium` balances speed and output quality.,`Nova-Small` provides a good balance between speed and output quality.
models_03,models,Which NovaAI model is the most resource-intensive but highest-quality option?,`Nova-Pro` provides NovaAI's highest output quality and highest resource usage.,`Nova-Pro` provides NovaAI's highest output quality and highest resource usage.
models_04,models,Which model starts as the default for a new NovaAI request?,`Nova-Small` is the default NovaAI model.,`Nova-Small` is the default NovaAI model.
models_05,models,"At what level can I specify `Nova-Small`, `Nova-Medium`, or `Nova-Pro`?",NovaAI users select the model in each API request.,NovaAI models are selected when a new API client is created.
models_06,models,What happens if I misspell a NovaAI model in the API request?,Using an unknown NovaAI model name returns `400 Invalid Model`.,Using an unknown NovaAI model name in the request returns `400 Invalid Model`.
models_07,models,What happens to my API key when I choose a different NovaAI model?,Changing NovaAI models does not require creating a new API key.,Changing the NovaAI model uses a different API key.
models_08,models,What endpoint strategy does NovaAI use across its models?,All NovaAI models use the same API endpoint.,NovaAI uses a fixed semantic cache TTL.
limits_01,rate_limits,What hourly rate limit applies to NovaAI Developer users?,"The NovaAI Developer plan allows up to 1,000 requests per hour.","The NovaAI Developer plan allows up to 1,000 requests per hour."
limits_02,rate_limits,What hourly rate limit applies to NovaAI Team accounts?,"The NovaAI Team plan allows up to 5,000 requests per hour.","The NovaAI Team plan allows up to 5,000 requests per hour."
limits_03,rate_limits,What hourly rate limit applies to a standard NovaAI Enterprise account?,"The NovaAI Enterprise plan allows up to 20,000 requests per hour.","The NovaAI Enterprise plan allows up to 1,000,000 requests per hour."
limits_04,rate_limits,What does NovaAI return when the hourly request limit has been reached?,Exceeding a NovaAI rate limit returns HTTP 429.,Exceeding a NovaAI rate limit returns HTTP 429.
limits_05,rate_limits,At what frequency does NovaAI refresh plan request limits?,NovaAI rate limits reset every hour.,NovaAI requests rate limits can be configured per API or per account.
limits_06,rate_limits,Will a bad API key use one of my hourly NovaAI requests?,NovaAI requests that fail authentication do not count toward the rate limit.,An incorrect NovaAI API key rejects all requests made with that key.
limits_07,rate_limits,"If NovaAI answers from semantic cache, is that counted as a fresh model call?",A NovaAI semantic cache hit does not count as a new model request.,A NovaAI semantic cache hit does not count as a new model request.
limits_08,rate_limits,"If 20,000 requests per hour is not enough, what option does an Enterprise customer have?",NovaAI Enterprise customers can request custom rate limits.,NovaAI Enterprise customers can request custom limits.
cache_01,semantic_cache,What should I assume about caching if I have not configured it in NovaAI?,NovaAI semantic caching is disabled by default.,NovaAI semantic caching is disabled by default.
cache_02,semantic_cache,What must I change to turn on semantic caching for a NovaAI project?,NovaAI semantic caching can be enabled in the project configuration.,NovaAI semantic caching can be enabled in the project configuration.
cache_03,semantic_cache,Which default value determines whether NovaAI treats two requests as similar enough for caching?,The default NovaAI semantic cache similarity threshold is 0.85.,NovaAI caches a request if its metadata is sufficiently similar to a cached request.
cache_04,semantic_cache,What boundaries apply when configuring semantic similarity for NovaAI caching?,NovaAI allows semantic cache similarity thresholds from 0.70 to 0.95.,NovaAI allows semantic cache similarity settings from 0 to 1.
cache_05,semantic_cache,What happens when a new NovaAI request is similar enough to one already cached?,NovaAI can reuse a cached response when a new request is sufficiently similar to a cached request.,A NovaAI semantic cache hit returns quickly without doubling the rate limit request count.
cache_06,semantic_cache,Why might a cached NovaAI response arrive faster than a new model response?,A NovaAI semantic cache hit can reduce response latency.,A NovaAI semantic cache hit can provide a response much faster than waiting for a new model request.
cache_07,semantic_cache,What can I do if I want NovaAI to stop using existing cached responses?,NovaAI allows users to clear the semantic cache manually.,NovaAI allows users to disable cached responses.
cache_08,semantic_cache,"If two NovaAI projects ask similar questions, do they share the same cache namespace?",NovaAI keeps semantic caches isolated between different projects.,NovaAI keeps semantic caches isolated between different projects.
cache_09,semantic_cache,Why might the same prompt miss cache after I switch NovaAI models?,Changing the NovaAI model uses a different semantic cache namespace.,Changing the NovaAI model can reset the semantic cache.
cache_10,semantic_cache,How many hours is the standard NovaAI semantic cache TTL?,The default NovaAI semantic cache TTL is 24 hours.,The default NovaAI semantic cache TTL is 24 hours.
cache_11,semantic_cache,Are NovaAI semantic cache entries removed from active use automatically after TTL expiration?,NovaAI automatically expires semantic cache entries when their configured TTL is reached.,NovaAI automatically expires semantic cache entries when their configured TTL is reached.
config_01,configuration,What is the standard NovaAI generation temperature?,The default NovaAI `temperature` is 0.7.,The default NovaAI `temperature` is 0.7.
config_02,configuration,Would NovaAI accept a temperature value of 2.5?,NovaAI allows `temperature` values from 0 to 2.,NovaAI allows `temperature` values from 0 to 2.
config_03,configuration,Which `max_tokens` setting applies automatically to a NovaAI request?,The default NovaAI `max_tokens` value is 512.,The default NovaAI `max_tokens` value is 512.
config_04,configuration,Would a `max_tokens` value of 5000 be valid in NovaAI?,NovaAI allows a maximum `max_tokens` value of 4096.,NovaAI allows a maximum `max_tokens` value of 4096.
config_05,configuration,What is the automatic timeout value for a normal NovaAI request?,The default NovaAI request timeout is 30 seconds.,The default NovaAI request timeout is 30 seconds.
config_06,configuration,Can I customize generation parameters separately on each NovaAI request?,NovaAI allows generation settings to be configured per API request.,NovaAI allows generation settings to be configured per API request.
config_07,configuration,Are NovaAI project defaults still used when the request explicitly supplies another value?,NovaAI request-level settings override project defaults.,NovaAI allows custom configuration values to override default settings.
config_08,configuration,What status and message indicate a NovaAI configuration validation failure?,Invalid NovaAI configuration values return `400 Configuration Error`.,NovaAI HTTP 400 Configuration Errors return a missing or incorrect API key.
deploy_01,deployment,What integration style should a developer expect when connecting to NovaAI?,NovaAI is accessed through a REST API.,NovaAI is accessed through a REST API.
deploy_02,deployment,What is NovaAI's standard region setting?,The default NovaAI deployment region is `eu-west`.,The default NovaAI deployment region is `eu-west`.
deploy_03,deployment,What are the other NovaAI region choices apart from the default?,NovaAI also supports the `us-east` and `ap-south` regions.,NovaAI also supports the `us-east` and `ap-south` regions.
deploy_04,deployment,Does NovaAI ask for the region before or after project creation?,A NovaAI project's region is selected when the project is created.,A NovaAI project's region is selected when the project is created.
